,index,id,date,num_day_of_week,day_of_week,plays,likes,comments,reach,saved,shares,total_interactions,permalink,caption,hashtags,hour posted,enjoyment,shortcap
89,70,17856858401815038,2022-09-22,3,Thurs,720,40,1,700,2,3,46,https://www.instagram.com/reel/Ci0wQZLrqUx/,"Mango Matcha Latte 🥭💚🧡

-mango
-ice
-milk
-simple syrup
-matcha

#matcha #matchalatte #matchatea #matchalover #latte #barista #fyp #instagood #instadaily #florida #miami #coffee #asmr",13,21,5.555555555555555,"Mango Matcha Latte 🥭💚🧡

-"
90,71,17957223860039490,2022-09-29,3,Thurs,1810,135,2,1763,3,0,140,https://www.instagram.com/reel/CjGzpGApj-u/,"☕️ or 🍵?

#latte #coffee #matcha #matchalatte #lattegram #coffeetime #icedcoffee #coffeeaddict #florida #miami #fyp #trending",12,21,7.458563535911603,"☕️ or 🍵?

#latte #coffee "
91,72,17989574092573078,2022-10-03,0,Mon,9798,251,4,9842,12,8,275,https://www.instagram.com/reel/CjQbqvRPDcp/,"My all time favorite drink💚 Moscow Mule

-lime juice
-vodka
-crushed ice
- @fevertreemixers ginger beer
-mint

#moscowmule #moscowmuletime #vodka #miami #florida #drink #cocktails #drinks #ginger #asmr #fyp",11,15,2.5617472953664016,My all time favorite drin
92,73,18078764842310596,2022-10-04,1,Tues,4783,64,2,4664,4,0,70,https://www.instagram.com/reel/CjS8AbjMnpf/,"A creamy coconutty cocktail? Yes pleaseee 🙏🏽🥥

#coconut #cocktails #margarita #margaritas #drink #5oclocksomewhere #viral #f #yum #tequila",10,14,1.338072339535856,A creamy coconutty cockta
94,74,18189254362210355,2022-10-10,0,Mon,324,19,4,319,0,0,23,https://www.instagram.com/reel/CjiNl2INtSL/,"Fig iced latte 💜

-figs
-coffee
-brown sugar simple syrup
-milk

#latte #coffee #icedcoffee #icedlatte #fig #figs #coffeetime #coffeelover #coffeeaddict #coffeeshop #miami# asmr #fyp",13,13,5.864197530864197,"Fig iced latte 💜

-figs
-"
95,75,17846305367849021,2022-10-14,4,Fri,278,21,0,277,0,0,21,https://www.instagram.com/reel/CjtFKpusey_/,"How good does this look!?!? And it tastes even better 😋🤤🤤

#matcha #drink #latte #yummy #instagood #instadaily #beauty #lifestyle #life #reelsinstagram #foryou #trending #cute",13,18,7.553956834532374,How good does this look!?
96,76,17942055410382191,2022-10-16,6,Sun,113202,7455,5,114368,225,112,7797,https://www.instagram.com/reel/CjyNaNjDuwh/,"Margarita gummies 💛❤️

- @milagrotequila 
-lime juice
-water
-honey 
-powdered jello 
-salt
-tajin

#margarita #tequila #tequilashots #shot #asmr #lime #margaritas #tequilatime #f #miami #fyp",11,18,6.58557269306196,"Margarita gummies 💛❤️

- "
97,77,17939187146289546,2022-10-17,0,Mon,223,34,1,212,1,0,36,https://www.instagram.com/reel/Cj06pUIplIy/,"💡, 🎥, 🎞️

#coffee #matcha #latte #icedcoffee #fyp #viral #sound",7,19,15.246636771300448,"💡, 🎥, 🎞️

#coffee #matcha"
98,78,17852015573826611,2022-10-22,5,Sat,274,22,1,265,1,1,25,https://www.instagram.com/reel/CkB4orAL9il/,"Brown Sugar Matcha Latte 🤎🤍💚

#matcha #matchalatte #icedcoffee #icedcoffeeaddict #icedmatchalatte #icedlatte #gilmoregirls #trending #viral #fyp",10,20,8.02919708029197,Brown Sugar Matcha Latte 
99,79,17984644081589290,2022-10-23,6,Sun,10840,122,2,9807,4,2,130,https://www.instagram.com/reel/CkESxqDORYa/,"Jalapeño pineapple Margarita 🌶️🍍

-tajin rim
-pineapple juice
-sliced jalapeños
-lime juice
-tequila
-ice

#pineapple #margarita #tequila #limon #margaritas #yum #deli #asmr #v #f #florida",11,18,1.1254612546125462,Jalapeño pineapple Margar
100,80,18216883387165049,2022-10-29,5,Sat,1209,38,0,1211,1,1,40,https://www.instagram.com/reel/CkT2YGdOb0K/,"La mejor manera de disfrutar la playa, con michelada en mano 🍻 @cervezatona 

#michelada #beach #micheladas #cerveza #beer #beerstagram #playa #trago #toña",9,19,3.1430934656741107,La mejor manera de disfru
101,81,17892314717708576,2022-11-03,3,Thurs,194,21,2,187,0,0,23,https://www.instagram.com/reel/CkhER9ULUNf/,"Salted Cream Cold Foam Cold Brew

-cold brew
-heavy cream
-powdered sugar
-salt

#coldbrew #saltedcreamcoldfoamcoldbrew #saltedcream #coldbrewcoffee #coffee #coffeeholic #coffeelover #miami #florida #viral #starbucks #asmr #f",13,23,10.824742268041238,Salted Cream Cold Foam Co
102,82,17979843385655207,2022-11-08,1,Tues,1149,30,0,1169,1,2,33,https://www.instagram.com/reel/CktCzDTMfCu/,"A red velvet iced latte for those positive vibes 🧘‍♀️

#latte #icedlatte #coffee #coffeeholic #coffeehouse #coffetime #miami #florida #viral #redvelvet",10,14,2.610966057441253,A red velvet iced latte f
103,83,17971778458920941,2022-11-10,3,Thurs,1232,40,2,1211,0,0,42,https://www.instagram.com/reel/CkyQvNTuLzr/,"Just another coffee reel 😉🥰☕️

#coffeewithstyle #coffee #coffeeholic #coffeelover #coffeehouse #coffeetime #latteart #latte #viral #viralvideos #f #followforfollowback #florida",13,15,3.2467532467532463,Just another coffee reel 
